2018-06-27 10:08:46,640 INFO [WriteToFile.java : 55] Getting ApiKey from apikey.text
2018-06-27 10:08:46,747 INFO [WriteToFile.java : 57] Get ApiKey from apikey.text sucessfully!
2018-06-27 10:08:46,750 INFO [WriteToFile.java : 65] Start to update location ...
2018-06-27 10:09:49,948 ERROR [WriteToFile.java : 78] Line 86, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:50,408 ERROR [WriteToFile.java : 78] Line 87, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:50,884 ERROR [WriteToFile.java : 78] Line 88, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:51,439 ERROR [WriteToFile.java : 78] Line 89, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:51,927 ERROR [WriteToFile.java : 78] Line 90, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:52,425 ERROR [WriteToFile.java : 78] Line 91, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:52,977 ERROR [WriteToFile.java : 78] Line 92, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:53,459 ERROR [WriteToFile.java : 78] Line 93, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:53,917 ERROR [WriteToFile.java : 78] Line 94, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:54,404 ERROR [WriteToFile.java : 78] Line 95, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:54,863 ERROR [WriteToFile.java : 78] Line 96, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:55,344 ERROR [WriteToFile.java : 78] Line 97, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:55,810 ERROR [WriteToFile.java : 78] Line 98, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:56,277 ERROR [WriteToFile.java : 78] Line 99, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:56,741 ERROR [WriteToFile.java : 78] Line 100, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:57,218 ERROR [WriteToFile.java : 78] Line 101, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:57,695 ERROR [WriteToFile.java : 78] Line 102, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:58,160 ERROR [WriteToFile.java : 78] Line 103, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:58,663 ERROR [WriteToFile.java : 78] Line 104, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:59,163 ERROR [WriteToFile.java : 78] Line 105, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:59,675 ERROR [WriteToFile.java : 78] Line 106, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:00,155 ERROR [WriteToFile.java : 78] Line 107, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:00,611 ERROR [WriteToFile.java : 78] Line 108, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:01,085 ERROR [WriteToFile.java : 78] Line 109, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:01,566 ERROR [WriteToFile.java : 78] Line 110, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:02,035 ERROR [WriteToFile.java : 78] Line 111, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:02,485 ERROR [WriteToFile.java : 78] Line 112, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:02,958 ERROR [WriteToFile.java : 78] Line 113, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:03,419 ERROR [WriteToFile.java : 78] Line 114, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:03,881 ERROR [WriteToFile.java : 78] Line 115, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:04,371 ERROR [WriteToFile.java : 78] Line 116, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:04,849 ERROR [WriteToFile.java : 78] Line 117, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:05,339 ERROR [WriteToFile.java : 78] Line 118, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:05,835 ERROR [WriteToFile.java : 78] Line 119, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:06,317 ERROR [WriteToFile.java : 78] Line 120, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:06,801 ERROR [WriteToFile.java : 78] Line 121, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:07,283 ERROR [WriteToFile.java : 78] Line 122, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:07,742 ERROR [WriteToFile.java : 78] Line 123, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:08,512 ERROR [WriteToFile.java : 78] Line 124, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:09,065 ERROR [WriteToFile.java : 78] Line 125, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:09,569 ERROR [WriteToFile.java : 78] Line 126, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:10,066 ERROR [WriteToFile.java : 78] Line 127, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:10,527 ERROR [WriteToFile.java : 78] Line 128, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:11,020 ERROR [WriteToFile.java : 78] Line 129, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:11,520 ERROR [WriteToFile.java : 78] Line 130, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:12,012 ERROR [WriteToFile.java : 78] Line 131, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:10:12,530 ERROR [WriteToFile.java : 78] Line 132, Error: You have exceeded your daily request quota for this API.
